"X0","Y0","Z0","treatments","days","L","a","b","YI","C","H"
35.17,34.23,19.74,"Blank",0,65.14472428516409,9.498709077504163,26.170295140464383,70.38621092608824,27.840794203435966,1.2226248930865902
35.23,34.78,21.08,"Blank",0,65.5770222372014,7.839539143169539,24.398243303453903,65.41000575043128,25.62679555215245,1.2599003322983569
35.75,34.84,20.58,"Blank",0,65.62390559363533,9.397408540056883,25.40557282998437,68.72904707233064,27.087901692238436,1.2165082763309507
35.75,35.2,21.75,"Blank",0,65.90408137956466,8.189754290361506,23.743324724107563,64.5028409090909,25.11608138804523,1.2386464876232803
35.87,35.37,18.14,"Blank",0,66.03572284495772,8.02605017806851,30.866339837204414,75.44585807181227,31.892764326829145,1.3164039360822368
36.1,35.73,18.24,"Blank",0,66.31310694321928,7.60170838460783,31.141773151533325,75.21298628603417,32.05613834176192,1.3313782198117856
36.27,35.68,20.03,"Blank",0,66.27469313003219,8.335258152951608,27.564265942958023,70.61042600896862,28.79696660154437,1.2771450002087397
36.54,36.03,21.59,"Blank",0,66.5428405011331,8.077888728973193,25.13339332082576,66.29419927837912,26.399616401322977,1.259823361187483
36.78,35.67,20.89,"Blank",0,66.26700606158327,10.061733939651097,25.938195328838766,69.90468180543874,27.821367090589202,1.2007539856721192
36.89,36.79,19.19,"Blank",0,67.11918033208646,6.751744401961579,30.64079190908695,73.05735254145148,31.375853475011446,1.3539107755178759
36.9,36.22,20.51,"Blank",0,66.6876795467505,8.644641709823485,27.370568688006202,70.37934842628381,28.703272646095346,1.2648741261654166
36.92,36.56,19.52,"Blank",0,66.94560608918805,7.598831760005476,29.69936208656685,72.66520787746171,30.656065508572237,1.3203115054212453
37.14,36.7,20.82,"Blank",0,67.05134636806017,7.866854203362916,27.420108593248482,69.40054495912806,28.526299274923623,1.2913999410361063
37.23,36.52,20.29,"Blank",0,66.9153450116796,8.74834293852106,28.1764534509795,71.59638554216865,29.503322410284333,1.2697489909404531
37.23,38.21,18.22,"Blank",0,68.1751053211838,3.3183416044512137,34.392618797360484,74.17220622873593,34.552331596353746,1.4746099404366084
37.45,36.87,22.38,"Blank",0,67.17938437691578,8.33003011877298,24.818702012700534,65.67181990778413,26.17933099555622,1.246975521185658
37.51,36.8,22.28,"Blank",0,67.12671060756996,8.75288857656259,24.904785833855712,66.29347826086956,26.398132810180723,1.232826701553945
37.54,36.67,21.18,"Blank",0,67.0287104044511,9.273133120726973,26.717617485647782,69.81292609762748,28.281125896684447,1.2367257948731938
37.62,37.28,19.74,"Blank",0,67.48657098390689,7.560221253958388,30.20796186243473,73.03969957081544,31.1396516565474,1.325561236982104
37.64,36.71,21.57,"Blank",0,67.0588889479189,9.46877684183839,26.059327190173477,68.95941160446745,27.726273974067443,1.222274187937165
37.69,37.29,22.82,"Blank",0,67.49403513870605,7.755792224397428,24.58903932772305,64.50522928399033,25.78319545921984,1.2652565145896733
37.8,36.17,18.75,"Blank",0,66.64961321251226,11.752856375904564,30.698967793743748,78.81946364390379,32.871815535409,1.2051682048562897
37.8,37.53,23.48,"Blank",0,67.6727759253479,7.342672268854377,23.757362775565216,62.60378363975485,24.866184309170052,1.2710399512698367
37.87,38.28,19.95,"Blank",0,68.22647636595356,5.183053587656028,31.081769111551473,71.38610240334377,31.510957072045738,1.405561292112242
37.88,38.39,19.83,"Blank",0,68.30707591404979,4.868050491950604,31.450038924525515,71.54623599895807,31.82456384534359,1.4172282436385757
37.93,37.81,23.67,"Blank",0,67.88034634494495,6.869360331913432,23.791070946548952,62.047606453319226,24.762939408587815,1.2897044019567216
38.0,38.53,20.41,"Blank",0,68.409434792031,4.815309288355884,30.52663394595061,70.08928107967817,30.90408684320879,1.4143442102014276
38.1,37.5,23.13,"Blank",0,67.65047507782968,8.409780503215558,24.32067960034385,64.6672,25.733632940858662,1.2378794478560706
38.33,36.78,19.57,"Blank",0,67.11164869192814,11.473282688085728,29.888977738509737,76.99347471451874,32.015421376172114,1.2042777936100215
38.38,37.73,23.23,"Blank",0,67.82114537505701,8.575796305036631,24.442389528068876,64.94195600318051,25.903179111980272,1.2333577693020474
38.48,37.95,23.38,"Blank",0,67.98374742249771,8.19588516645836,24.464840129045506,64.48379446640314,25.80118090711213,1.2475405062246545
38.55,37.88,22.9,"Blank",0,67.93207873025428,8.642936160967896,25.204962356585668,66.18268215417103,26.645646415117554,1.2404551360383886
38.72,38.3,23.6,"Blank",0,68.24114230328044,7.854465671914445,24.532362159958687,64.08772845953001,25.759064892551034,1.2609414258659755
38.75,38.22,22.56,"Blank",0,68.18244788100134,8.203240656612486,26.231024001993575,67.20669806384093,27.483809369580904,1.2677014999836378
38.75,38.44,24.37,"Blank",0,68.34366117984389,7.508355747808393,23.41032612636098,61.8309053069719,24.584929842857534,1.2604328087075058
39.01,38.78,24.53,"Blank",0,68.59160350881363,7.26768413912543,23.571378797955344,61.70964414646725,24.666356260761216,1.2717180230153342
39.43,38.66,22.94,"Blank",0,68.50426054168673,8.974036676560825,26.12194210711085,67.6513191929643,27.620448832694766,1.2398844855680462
39.45,39.32,24.8,"Blank",0,68.98243268787799,6.976041132931821,23.798229640119885,61.566632756866724,24.79961459160681,1.2856515837514753
39.47,39.01,23.48,"Blank",0,68.75850853799972,8.0043014075043,25.629315555999366,65.70827992822353,26.850151896984986,1.2680842131203505
39.49,39.03,23.52,"Blank",0,68.77299098314069,8.004925746346203,25.58589364889807,65.63156546246478,26.80889386038221,1.2675791396658278
39.62,40.11,20.81,"Blank",0,69.5478061297021,5.074503653171137,31.74288789144173,71.44103714784343,32.14594094150434,1.412274943738416
40.01,39.83,25.35,"Blank",0,69.34827699444308,7.157091509900681,23.528392913824426,61.114235500878735,24.592869535464864,1.2755003442483783
40.04,39.93,21.0,"Blank",0,69.41964443048482,6.943185797678053,31.170701504585985,72.60505885299273,31.934627934408084,1.3516271845533407
40.09,39.29,22.54,"Blank",0,68.96081415916909,9.076986095779782,27.60818443754833,69.79587681343855,29.062063321806065,1.253150426510791
40.11,40.68,21.11,"Blank",0,69.95113921820993,4.870740706717669,31.88470253541713,71.20009832841691,32.254586818065306,1.4192071835383957
40.22,40.5,27.81,"Blank",0,69.82418018670036,5.760791758617268,20.472838897577873,54.3283950617284,21.267906672080592,1.2965018756825801
40.22,40.01,25.56,"Blank",0,69.47665263589835,7.258755339660416,23.409301025109563,60.95476130967259,24.508873975873396,1.2701177005076163
40.3,39.99,24.9,"Blank",0,69.46240771393875,7.569082625545731,24.461043455159913,62.99074768692173,25.605344338781308,1.2707069624675755
40.45,40.72,27.95,"Blank",0,69.97930145456931,5.806943559092337,20.526695757082148,54.3934184675835,21.33227208251147,1.2951031308269823
40.58,40.07,23.63,"Blank",0,69.51935893959913,8.19226141998336,26.685056881457836,67.11904167706514,27.914250982965456,1.2729316986788861
40.6,40.03,22.48,"Blank",0,69.49089281152806,8.376854169469372,28.627686896682867,70.29527854109418,29.828109943995184,1.2861296287778503
40.84,40.67,26.05,"Blank",0,69.9440957748269,7.164539733412523,23.42809085759223,60.639783624293095,24.499103469785247,1.2740180019647414
41.08,40.82,25.24,"Blank",0,70.04962645030476,7.44791479239365,24.916686932700326,63.27290543851053,26.006013198046244,1.2803373304530266
41.1,41.54,22.17,"Blank",0,70.55260695158115,5.3412861876334645,31.006706842453635,70.07173808377468,31.46339472072372,1.4002082528432875
41.17,40.78,25.72,"Blank",0,70.02151024949578,7.845207194430214,24.090585569002144,62.36978911230995,25.33581632750273,1.25597258393481
41.19,40.8,24.65,"Blank",0,70.0355706469756,7.845903350061468,25.861911086001378,65.18186274509803,27.025851409321902,1.276244454015553
41.26,40.61,23.62,"Blank",0,69.90181085003091,8.636852672612994,27.36149427151444,68.3959615858163,28.692274097020263,1.2650377389499887
41.42,41.1,25.24,"Blank",0,70.24592740274407,7.6427363517433395,25.255136850699156,63.9007299270073,26.38623421956611,1.2769366257307657
41.5,41.26,26.43,"Blank",0,70.35769934365935,7.405060810684871,23.537529703991034,60.843916626272424,24.674890682153006,1.2659934844495138
41.62,41.87,22.65,"Blank",0,70.78119833164038,5.945196736387992,30.553711537677543,69.89395748746118,31.126751403928555,1.3786159441331742
