X0,Y0,Z0,treatments,days
27.92,27.33,14.41,Quercetin,1
40.24,39.36,18.03,Quercetin,2
33.96,32.88,14.50,Quercetin,2
37.44,36.52,16.76,Quercetin,2
38.97,38.21,17.85,Quercetin,2
37.59,36.83,17.18,Quercetin,2
30.76,30.03,13.99,Quercetin,2
30.59,29.64,13.56,Quercetin,2
29.17,28.16,12.86,Quercetin,2
25.63,24.72,11.53,Quercetin,2
29.25,28.48,13.53,Quercetin,2
39.61,38.60,19.92,Quercetin,4
35.09,34.07,15.35,Quercetin,4
38.03,37.02,16.61,Quercetin,4
36.81,35.98,16.61,Quercetin,4
35.18,34.28,15.97,Quercetin,4
30.03,28.94,12.74,Quercetin,4
30.85,29.80,13.36,Quercetin,4
30.03,29.06,13.12,Quercetin,4
27.88,26.96,12.27,Quercetin,4
31.46,30.54,14.04,Quercetin,4
21.89,20.31,8.40,NC,0
23.02,21.21,8.96,NC,0
23.03,21.42,9.09,NC,0
24.00,21.88,8.87,NC,0
24.48,22.66,8.92,NC,0
28.27,26.84,12.04,NC,0
28.41,25.82,9.42,NC,0
29.34,27.67,11.84,NC,0
30.09,27.49,10.40,NC,0
32.78,31.50,14.65,NC,0
25.25,23.64,9.99,NC,1
21.99,19.51,7.64,NC,1
18.38,16.26,6.72,NC,1
24.23,22.47,9.22,NC,1
21.99,19.53,7.52,NC,1
20.24,18.37,7.27,NC,1
19.46,17.56,6.96,NC,1
21.26,19.30,7.69,NC,1
21.58,20.00,8.49,NC,1
19.58,17.75,7.10,NC,1
22.81,20.32,7.45,NC,2
18.02,16.05,6.20,NC,2
19.05,16.69,6.53,NC,2
20.38,18.02,6.73,NC,2
22.33,20.42,8.11,NC,2
16.86,15.06,6.33,NC,2
20.39,18.25,7.07,NC,2
17.85,16.01,6.81,NC,2
22.20,20.59,9.11,NC,2
18.49,16.63,7.28,NC,2
25.20,23.30,9.26,NC,4
16.52,14.42,6.20,NC,4
19.53,17.07,6.56,NC,4
21.52,19.48,7.75,NC,4
20.66,18.61,7.43,NC,4
20.00,18.11,7.25,NC,4
17.19,14.92,6.13,NC,4
19.79,17.73,7.17,NC,4
21.32,19.62,8.35,NC,4
16.72,14.77,7.23,NC,4
20.57,18.13,6.99,NCT,0
21.82,20.06,8.19,NCT,0
22.16,19.94,7.50,NCT,0
22.48,20.84,8.62,NCT,0
22.95,21.30,9.19,NCT,0
23.92,21.84,8.96,NCT,0
24.13,22.72,6.69,NCT,0
24.38,22.58,9.88,NCT,0
26.49,24.05,8.90,NCT,0
29.08,27.52,12.04,NCT,0
27.12,25.94,11.92,NCT,1
22.74,20.30,8.19,NCT,1
19.44,17.50,7.34,NCT,1
24.99,23.64,10.76,NCT,1
21.29,19.11,7.81,NCT,1
20.66,19.01,7.84,NCT,1
18.80,16.85,6.66,NCT,1
18.96,17.34,7.24,NCT,1
21.72,20.30,8.81,NCT,1
19.17,17.52,7.56,NCT,1
22.11,19.97,7.96,NCT,2
19.12,17.49,7.06,NCT,2
19.23,17.30,7.28,NCT,2
20.18,18.01,7.20,NCT,2
19.71,18.01,7.67,NCT,2
17.57,16.05,7.07,NCT,2
16.04,14.35,6.27,NCT,2
17.56,15.88,6.66,NCT,2
19.86,18.23,7.37,NCT,2
18.14,16.44,6.93,NCT,2
26.27,24.93,11.48,NCT,4
21.47,19.23,7.83,NCT,4
19.52,17.51,7.20,NCT,4
22.53,20.91,8.68,NCT,4
18.47,16.45,7.00,NCT,4
19.13,17.36,7.21,NCT,4
16.79,14.94,6.43,NCT,4
18.33,16.64,6.98,NCT,4
22.16,20.75,8.84,NCT,4
20.05,18.43,7.92,NCT,4
24.51,22.42,8.19,NC+T1130,0
24.62,22.71,8.44,NC+T1130,0
27.20,25.27,9.50,NC+T1130,0
29.80,28.04,10.92,NC+T1130,0
29.86,27.77,10.26,NC+T1130,0
30.13,28.38,10.99,NC+T1130,0
31.04,29.19,11.19,NC+T1130,0
31.89,30.01,11.34,NC+T1130,0
33.91,32.22,12.76,NC+T1130,0
34.23,32.46,12.68,NC+T1130,0
22.63,20.86,8.32,NC+T1130,1
24.16,22.26,8.69,NC+T1130,1
25.11,23.19,9.08,NC+T1130,1
21.62,19.74,7.91,NC+T1130,1
26.46,24.52,9.58,NC+T1130,1
24.84,22.97,9.03,NC+T1130,1
25.71,23.82,9.36,NC+T1130,1
25.22,23.17,8.84,NC+T1130,1
19.05,17.02,6.77,NC+T1130,1
24.11,21.97,8.42,NC+T1130,1
23.13,21.15,8.10,NC+T1130,2
20.47,18.42,6.69,NC+T1130,2
21.68,19.64,7.28,NC+T1130,2
25.17,23.13,8.80,NC+T1130,2
22.32,20.32,7.42,NC+T1130,2
25.29,23.18,8.73,NC+T1130,2
21.06,19.08,7.39,NC+T1130,2
22.05,19.95,7.32,NC+T1130,2
23.58,21.44,8.42,NC+T1130,2
20.07,17.93,7.08,NC+T1130,2
21.82,19.75,7.83,NC+T1130,4
24.48,22.45,9.02,NC+T1130,4
23.86,21.72,8.34,NC+T1130,4
21.83,19.77,7.92,NC+T1130,4
26.51,24.33,9.49,NC+T1130,4
21.92,19.86,7.87,NC+T1130,4
24.49,22.31,8.69,NC+T1130,4
22.48,20.24,7.59,NC+T1130,4
18.81,16.66,6.72,NC+T1130,4
23.27,21.14,8.29,NC+T1130,4
14.99,13.95,6.22,NC+Quercetin,0
16.87,16.09,7.04,NC+Quercetin,0
19.06,16.22,7.20,NC+Quercetin,0
19.53,18.27,7.69,NC+Quercetin,0
20.43,19.22,7.03,NC+Quercetin,0
20.94,19.64,8.10,NC+Quercetin,0
21.08,19.87,8.06,NC+Quercetin,0
21.32,19.84,7.83,NC+Quercetin,0
22.68,21.26,8.63,NC+Quercetin,0
23.49,22.36,8.73,NC+Quercetin,0
14.49,13.29,6.00,NC+Quercetin,1
14.80,13.36,5.90,NC+Quercetin,1
13.69,12.55,6.19,NC+Quercetin,1
13.60,12.58,6.16,NC+Quercetin,1
17.04,15.53,6.87,NC+Quercetin,1
18.73,17.13,7.26,NC+Quercetin,1
19.33,17.54,7.24,NC+Quercetin,1
17.00,15.43,6.88,NC+Quercetin,1
19.28,17.75,7.62,NC+Quercetin,1
15.55,14.23,6.43,NC+Quercetin,1
14.70,13.33,5.95,NC+Quercetin,2
12.17,11.10,5.71,NC+Quercetin,2
14.84,13.21,5.83,NC+Quercetin,2
14.26,13.03,6.22,NC+Quercetin,2
17.67,16.17,7.19,NC+Quercetin,2
19.00,17.47,7.98,NC+Quercetin,2
18.32,16.65,6.89,NC+Quercetin,2
15.38,13.79,6.39,NC+Quercetin,2
19.82,18.34,8.08,NC+Quercetin,2
15.09,13.63,6.12,NC+Quercetin,2
12.36,11.30,5.91,NC+Quercetin,4
13.98,12.55,5.84,NC+Quercetin,4
15.56,13.84,6.00,NC+Quercetin,4
15.67,14.50,6.64,NC+Quercetin,4
19.18,17.89,8.44,NC+Quercetin,4
18.75,16.98,7.12,NC+Quercetin,4
19.25,17.37,7.18,NC+Quercetin,4
16.23,14.61,6.68,NC+Quercetin,4
21.54,19.83,8.24,NC+Quercetin,4
